source_id,name,prefecture,category,lat,lng,image_url
Q4306401,伊賀流忍者博物館,三重縣,軍事博物館,34.7717222,136.1291111,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E8%B4%BA%E6%B5%81%E5%BF%8D%E8%80%85%E5%8D%9A%E7%89%A9%E9%A6%86%20-%20panoramio.jpg
Q11465552,尾鷲市立天文科学館,三重縣,天文博物館,34.0723890,136.1930280,http://commons.wikimedia.org/wiki/Special:FilePath/NakamurayamaCastle%E4%BA%8C%E3%81%AE%E4%B8%B8.JPG
Q11614941,芭蕉翁紀念館,三重縣,人物紀念館,34.7699170,136.1296670,http://commons.wikimedia.org/wiki/Special:FilePath/%E8%8A%AD%E8%95%89%E7%BF%81%E8%A8%98%E5%BF%B5%E9%A4%A8%201.JPG
Q24865208,四日市市立博物館,三重縣,博物館,34.9680000,136.6155556,http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Yokkaichi.jpg
Q132682299,松阪市文化財センター,三重縣,博物館,34.5781610,136.5201920,
Q97738204,松浦武四郎記念館,三重縣,人物紀念館,34.6425680,136.5090830,
Q28068255,伊勢河崎商人館,三重縣,历史房屋博物馆,34.4965830,136.7176110,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8A%E5%8B%A2%E6%B2%B3%E5%B4%8E%E5%95%86%E4%BA%BA%E9%A4%A8.jpg
Q48750932,伊勢志摩峰會紀念館,三重縣,博物館,34.3086389,136.8184722,http://commons.wikimedia.org/wiki/Special:FilePath/SumMiel%20entrance.jpg
Q11371781,伊勢夫婦岩體驗型水族館海洋樂園,三重縣,水族館,34.5072220,136.7919440,http://commons.wikimedia.org/wiki/Special:FilePath/Futami%20Sea%20Paradise%2020100516.jpg
Q135284751,サイトウミュージアム,三重縣,美術館,34.5767000,136.5303400,
Q3478488,泉屋博古馆,京都府,美術館,35.0176000,135.7929000,http://commons.wikimedia.org/wiki/Special:FilePath/SenokuHakkoKan.jpg
Q11622794,藤井有邻馆,京都府,美術館,35.0116940,135.7812780,http://commons.wikimedia.org/wiki/Special:FilePath/Yurinkan%20Museum.jpg
Q132529351,いけばな資料館,京都府,美術館,35.0080130,135.7600800,
Q127602236,大西清右衛門美術館,京都府,美術館,35.0084770,135.7557470,http://commons.wikimedia.org/wiki/Special:FilePath/Onishi%20Seiwemon%20Museum.jpg
Q11375286,京都府立陶板名画の庭,京都府,陶瓷博物館,35.0511111,135.7653056,http://commons.wikimedia.org/wiki/Special:FilePath/LastSupper-GardenOfFineArtKyoto.jpg
Q11402029,北村美術館,京都府,美術館,35.0280000,135.7703610,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Kitamura%20Art%20Museum%202013-08.JPG
Q1055628,京都國立近代美術館,京都府,美術館,35.0123890,135.7819430,http://commons.wikimedia.org/wiki/Special:FilePath/National%20Museum%20of%20Modern%20Art%20Kyoto%202010.jpg
Q11594325,福知山市佐藤太清記念美術館,京都府,美術館,35.2975000,135.1303330,http://commons.wikimedia.org/wiki/Special:FilePath/Taisei%20Sato%20Memorial%20Art%20Museum01st3200.jpg
Q131431514,福知山市児童科学館,京都府,科學博物館,35.3122140,135.1363340,
Q6452177,立命館大学国際平和ミュージアム,京都府,大學博物館,35.0336944,135.7273056,http://commons.wikimedia.org/wiki/Special:FilePath/Ritsumeikan-Univ-Kinugasa-04.jpg
Q21190901,大谷大学博物館,京都府,大學博物館,35.0418110,135.7588540,http://commons.wikimedia.org/wiki/Special:FilePath/Otani-Univ-03.jpg
Q21019672,高麗美術館,京都府,美術館,35.0542920,135.7508070,http://commons.wikimedia.org/wiki/Special:FilePath/Koryo%20Museum.jpg
Q11532219,松花堂,京都府,日本庭園,34.8795830,135.7017780,
Q11645680,野村美術館,京都府,美術館,35.0129170,135.7933330,http://commons.wikimedia.org/wiki/Special:FilePath/%E7%BE%8E%E8%A1%93%E9%A4%A8%E5%A4%96%E8%A6%B3.jpg
Q18337620,並河靖之七宝記念館,京都府,人物紀念館,35.0098890,135.7813060,http://commons.wikimedia.org/wiki/Special:FilePath/Namikawa%20cloisonne%20museum%20of%20kyoto.jpg
Q11381116,伏見桃山城キャッスルランド,京都府,主題樂園,34.9394722,135.7768056,http://commons.wikimedia.org/wiki/Special:FilePath/%E4%BC%8F%E8%A6%8B%E6%A1%83%E5%B1%B1%E5%9F%8E06.jpg
Q127598408,京都精華大学ギャラリーTerra-S,京都府,美術館,35.0728210,135.7703460,
Q11533890,染・清流館,京都府,美術館,35.0055830,135.7583890,http://commons.wikimedia.org/wiki/Special:FilePath/Dye%20museum%20Seiryu%2002.jpg
Q30933052,龙谷博物馆,京都府,宗教博物馆,34.9911111,135.7533611,http://commons.wikimedia.org/wiki/Special:FilePath/170128%20Ryukoku%20Museum%20Kyoto%20Japan02n.jpg
Q17230147,古田織部美術館,京都府,美術館,35.0576940,135.7327500,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%8F%A4%E7%94%B0%E7%B9%94%E9%83%A8%E7%BE%8E%E8%A1%93%E9%A4%A8%E5%A4%96%E8%A6%B3.jpg
Q118145425,京都清宗根付館,京都府,美術館,35.0014444,135.7446389,http://commons.wikimedia.org/wiki/Special:FilePath/Netsuke%20art%20museum%20%28Kyoto%29%20Minka%20outdoor%20hdsr%20S5%20a2.jpg
Q17211497,きっづ光科学館ふぉとん,京都府,兒童博物館,34.7137780,135.8357780,
Q30266176,京都市青少年科学センター,京都府,科學博物館,34.9545120,135.7645120,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Municipal%20Science%20Center.jpg
Q132529053,中信美術館,京都府,美術館,35.0200480,135.7536740,
Q3330657,京都市美術館,京都府,美術館,35.0128361,135.7835694,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Municipal%20Museum%20of%20Art%201933%20%E2%85%B1.jpg
Q11375242,京都府立堂本印象美術館,京都府,美術館,35.0351390,135.7260560,http://commons.wikimedia.org/wiki/Special:FilePath/Insho-Domoto%20Museum%20of%20Fine%20Arts01s5.jpg
Q99551687,京都市立芸術大学ギャラリー,京都府,美術館,35.0117005,135.7525167,
Q138315086,千總ギャラリー,京都府,美術館,35.0083030,135.7589370,
Q61818339,ヒカリ美術館,京都府,美術館,35.6442000,134.9650000,http://commons.wikimedia.org/wiki/Special:FilePath/Hikaribijyutukan.jpg
Q132529516,遠藤剛熈美術館,京都府,美術館,34.9997980,135.7506660,
Q3959661,掌美術館,京都府,美術館,35.0005586,135.7799118,
Q22118562,京都佛立ミュージアム,京都府,宗教博物馆,35.0271360,135.7354143,http://commons.wikimedia.org/wiki/Special:FilePath/2012exhibition1.jpg
Q11283175,朝日啤酒大山崎山莊美術館,京都府,美術館,34.8955560,135.6796390,http://commons.wikimedia.org/wiki/Special:FilePath/250504%20Asahi%20beer%20Oyamazaki%20Villa%20Museum%20%C5%8Cyamazaki%20Kyoto%20pref%20Japan01s3.jpg
Q11374929,京都大學綜合博物館,京都府,大學博物館,35.0272630,135.7792870,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20University%20Museum%2020120805-001.jpg
Q11374199,京セラギャラリー,京都府,美術館,34.9468333,135.7507222,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Kyocera%20Museum%20of%20Art1.JPG
Q127503199,京都工芸繊維大学. 美術工芸資料館,京都府,大學博物館,35.0495490,135.7811890,
Q18336820,京都希臘羅馬美術館,京都府,美術館,35.0487500,135.7715830,
Q17213428,清水三年坂美術館,京都府,美術館,34.9974170,135.7812780,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyomizu%20Sannenzaka%20Museum.jpg
Q11606115,細見美術館,京都府,美術館,35.0138330,135.7796390,http://commons.wikimedia.org/wiki/Special:FilePath/Hosomi%20Museum%20ac.JPG
Q102045484,福田美術館,京都府,美術館,35.0139170,135.6764440,http://commons.wikimedia.org/wiki/Special:FilePath/Fukuda%20art%20museum.jpg
Q136472115,何必館・京都現代美術館,京都府,私人博物館,35.0041865,135.7754297,
Q11497319,承天閣美術館,京都府,美術館,35.0335830,135.7626110,http://commons.wikimedia.org/wiki/Special:FilePath/150815%20Jotenkaku%20Museum%20Kyoto%20Japan01s3.jpg
Q11375124,京都市考古資料館,京都府,考古博物館,35.0319570,135.7493820,http://commons.wikimedia.org/wiki/Special:FilePath/KyotoArchaeologicalMuseum.jpg
Q104721140,京都府立丹後郷土資料館,京都府,建築物,35.5797222,135.1785556,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Prefectural%20Tango%20Folk%20Museum%EF%BC%93.jpg
Q132529130,京指物資料館,京都府,家具博物館,35.0149865,135.7629520,
Q11103541,東映太秦映畫村,京都府,电影布景,35.0163890,135.7083330,http://commons.wikimedia.org/wiki/Special:FilePath/Toei%20Kyoto%20Studio%20Park%20from%20above.jpg
Q24014029,京都鐵道博物館,京都府,建築物,34.9872222,135.7425000,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Railway%20Museum%2C%20enkei.jpg
Q11300942,グンゼ博物苑,京都府,織物博物館,35.3052778,135.2579167,http://commons.wikimedia.org/wiki/Special:FilePath/Gunze%20museum01s3200.jpg
Q123516621,宇治・上林記念館,京都府,茶博物館,34.8910300,135.8041800,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%AE%87%E6%B2%BB%20%E4%B8%8A%E6%9E%97%E8%A8%98%E5%BF%B5%E9%A4%A8%20%2814003018022%29.jpg
Q1049901,梅小路蒸汽機關車館,京都府,建築物,34.9872000,135.7430000,http://commons.wikimedia.org/wiki/Special:FilePath/Umekoji%20SL%20museum%20002%20JPN.jpg
Q11375001,京都市学校歴史博物館,京都府,教育博物館,35.0007500,135.7656940,http://commons.wikimedia.org/wiki/Special:FilePath/Kyoto%20Museum%20of%20School%20History%20gate.JPG
Q11375271,京都府立綜合資料館,京都府,都道府县立博物馆,35.0505560,135.7664170,http://commons.wikimedia.org/wiki/Special:FilePath/Verbundarchiv%20Kyoto.jpg
Q132529589,安達くみひも館,京都府,工藝博物館,35.0211460,135.7585790,
Q11300944,グンゼ記念館,京都府,公司博物館,35.3055556,135.2572778,http://commons.wikimedia.org/wiki/Special:FilePath/Gunze%20memorial%20hall01s3200.jpg
Q11476799,島津創業紀念資料館,京都府,公司博物館,35.0128860,135.7702420,http://commons.wikimedia.org/wiki/Special:FilePath/Shimadzu-Foundation-Memorial-Hall-01.jpg
Q76445246,加悦鉄道資料館,京都府,鐵路博物館,35.5040833,135.0947500,http://commons.wikimedia.org/wiki/Special:FilePath/Kaya%20Railway%20Museum%20ac.jpg
Q11374217,京丹後市立郷土資料館,京都府,地方文化館,35.6524720,134.9778060,http://commons.wikimedia.org/wiki/Special:FilePath/Kyodoshiryokan%20kyotango.jpg
Q11516157,月桂冠大倉記念館,京都府,公司博物館,34.9296940,135.7621670,http://commons.wikimedia.org/wiki/Special:FilePath/Gekkeikan%20Okura%20Sake%20Museum01nt3200.jpg
Q7496444,小倉百人一首殿堂時雨殿,京都府,文學館,35.0136960,135.6737660,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%B0%8F%E5%80%89%E7%99%BE%E4%BA%BA%E4%B8%80%E9%A6%96%E3%81%AE%E6%AE%BF%E5%A0%82%E3%83%BB%E6%99%82%E9%9B%A8%E6%AE%BF%20-%20panoramio.jpg
